set_id,species,type1,type2,ability1,ability2,base_speed,item,nature,ev_spread,move1,move2,move3,move4,lv50_allowed,in_pool_battle50plus,lategame_trainer_count
0,Sunkern,Grass,Grass,Chlorophyll,None,30,Lax Incense,Relaxed,SP_ATTACK|HP,Mega Drain,Helping Hand,Sunny Day,Light Screen,1,0,0
1,Azurill,Normal,Normal,Thick Fat,Huge Power,20,Cheri Berry,Rash,SP_ATTACK|HP,Water Pulse,Attract,Sing,Charm,1,0,0
2,Caterpie,Bug,Bug,Shield Dust,None,45,Focus Band,Quirky,ATTACK|HP,Tackle,String Shot,None,None,1,0,0
3,Weedle,Bug,Poison,Shield Dust,None,50,Focus Band,Quirky,ATTACK|HP,Poison Sting,String Shot,None,None,1,0,0
4,Wurmple,Bug,Bug,Shield Dust,None,20,Lax Incense,Quirky,ATTACK|HP,Tackle,String Shot,Poison Sting,None,1,0,0
5,Ralts,Psychic,Psychic,Synchronize,Trace,40,Twisted Spoon,Docile,SP_ATTACK|HP,Confusion,Imprison,Double Team,Light Screen,1,0,0
6,Magikarp,Water,Water,Swift Swim,None,80,Focus Band,Hardy,ATTACK|HP,Flail,None,None,None,1,0,0
7,Feebas,Water,Water,Swift Swim,None,80,Focus Band,Lonely,ATTACK|HP,Flail,Mirror Coat,None,None,1,0,0
8,Metapod,Bug,Bug,Shed Skin,None,30,Lax Incense,Bashful,SP_DEFENSE|HP,Harden,None,None,None,1,0,0
9,Kakuna,Bug,Poison,Shed Skin,None,35,Lax Incense,Bashful,SP_DEFENSE|HP,Harden,None,None,None,1,0,0
10,Pichu,Electric,Electric,Static,None,60,Sitrus Berry,Rash,SP_ATTACK|HP,Sweet Kiss,Thunder Wave,Attract,Shock Wave,1,0,0
11,Silcoon,Bug,Bug,Shed Skin,None,15,Lax Incense,Bashful,SP_DEFENSE|HP,Harden,None,None,None,1,0,0
12,Cascoon,Bug,Bug,Shed Skin,None,15,Lax Incense,Bashful,SP_DEFENSE|HP,Harden,None,None,None,1,0,0
13,Igglybuff,Normal,Normal,Cute Charm,None,15,Focus Band,Docile,ATTACK|HP,Sweet Kiss,Sing,Attract,Seismic Toss,1,0,0
14,Wooper,Water,Ground,Damp,Water Absorb,15,Sitrus Berry,Docile,ATTACK|HP,Yawn,Dig,Water Pulse,Rain Dance,1,0,0
15,Tyrogue,Fighting,Fighting,Guts,None,35,Focus Band,Docile,ATTACK|HP,Mach Punch,Protect,Double Team,Facade,1,0,0
16,Sentret,Normal,Normal,Run Away,Keen Eye,20,Kings Rock,Docile,ATTACK|HP,Quick Attack,Follow Me,Helping Hand,Assist,1,0,0
17,Cleffa,Normal,Normal,Cute Charm,None,15,Lax Incense,Serious,SP_ATTACK|HP,Sweet Kiss,Sing,Attract,Metronome,1,0,0
18,Seedot,Grass,Grass,Chlorophyll,Early Bird,30,Focus Band,Docile,ATTACK|HP,Bullet Seed,Bide,Defense Curl,Rollout,1,0,0
19,Lotad,Water,Grass,Swift Swim,Rain Dish,30,Lax Incense,Docile,SP_ATTACK|HP,Rain Dance,Water Pulse,Sunny Day,Mega Drain,1,0,0
20,Poochyena,Dark,Dark,Run Away,None,35,Petaya Berry,Relaxed,SP_ATTACK|HP,Crunch,Swagger,Roar,Sand Attack,1,0,0
21,Shedinja,Bug,Ghost,Wonder Guard,None,40,Lax Incense,Naive,SPEED|HP,Shadow Ball,Confuse Ray,Silver Wind,Grudge,1,1,2
22,Makuhita,Fighting,Fighting,Thick Fat,Guts,25,Scope Lens,Docile,ATTACK|HP,Fake Out,Seismic Toss,Detect,Whirlwind,1,0,0
23,Whismur,Normal,Normal,Soundproof,None,28,Cheri Berry,Relaxed,ATTACK|HP,Uproar,Swagger,Body Slam,Smelling Salt,1,0,0
24,Zigzagoon,Normal,Normal,Pickup,None,60,Silk Scarf,Timid,ATTACK|HP,Headbutt,Pin Missile,Swift,Sand Attack,1,0,0
25,Zubat,Poison,Flying,Inner Focus,None,55,Cheri Berry,Sassy,ATTACK|HP,Poison Fang,Whirlwind,Confuse Ray,Aerial Ace,1,0,0
