facility_class,trainer_ids,iv_range,open_pool_size,has_OHKO,has_sleep,has_explosion,has_ghost,has_damp_species,has_counter,has_quick_claw,has_dnite_or_ttar,has_birds_dogs_max
AROMA_LADY,"298,299",31,95,0,1,1,0,0,1,1,0,0
BATTLE_GIRL,"240,241,242",31,112,1,1,1,0,0,1,1,0,0
BEAUTY,"296,297",31,55,1,1,0,1,1,0,1,0,0
BIRD_KEEPER,"286,287",31,61,0,1,0,0,0,1,1,0,0
BLACK_BELT,"237,238,239",31,112,1,1,1,0,0,1,1,0,0
BUG_MANIAC,"276,277",31,28,1,1,1,1,0,1,1,0,0
CAMPER,"204,205",21,33,1,0,1,1,1,1,1,0,0
COLLECTOR,"282,283",31,36,0,1,0,0,0,1,1,0,0
COOLTRAINER_F,"224,225,226,227",31,346,1,1,1,1,1,1,1,1,1
COOLTRAINER_M,"220,221,222,223",31,310,1,1,1,1,0,1,1,1,1
CYCLING_TRIATHLETE_F,"274,275",31,192,1,1,1,1,1,1,1,0,0
CYCLING_TRIATHLETE_M,"272,273",31,192,1,1,1,1,1,1,1,0,0
DRAGON_TAMER,"234,235,236",31,96,1,1,1,0,0,1,1,1,0
EXPERT_F,"246,247,248",31,254,1,1,1,1,1,1,1,1,0
EXPERT_M,"243,244,245",31,244,1,1,1,1,1,1,1,1,0
FISHERMAN,"278,279",31,34,1,0,0,0,0,1,1,0,0
GENTLEMAN,"261,262,263",31,249,1,1,1,1,1,1,1,1,1
GUITARIST,"284,285",31,81,0,1,1,1,0,1,0,0,1
HEX_MANIAC,"255,256,257",31,67,1,1,1,1,0,1,1,0,0
HIKER,"290,291",31,78,1,0,1,0,0,1,1,1,0
KINDLER,"292,293",31,62,0,1,0,1,0,1,1,1,0
LASS,"202,203",21,33,1,1,1,1,1,1,1,0,0
PARASOL_LADY,"294,295",31,35,0,1,1,0,0,1,1,0,0
PICNICKER,"206,207",21,33,1,0,1,1,1,1,1,0,0
PKMN_BREEDER_F,"218,219",21,30,1,1,1,0,0,1,1,0,0
PKMN_BREEDER_M,"216,217",21,30,1,1,1,0,0,1,1,0,0
PKMN_RANGER_F,"231,232,233",31,274,1,1,1,1,1,1,1,1,1
PKMN_RANGER_M,"228,229,230",31,274,1,1,1,1,1,1,1,1,1
POKEFAN_F,"214,215",21,40,1,1,0,1,1,1,1,0,0
POKEFAN_M,"212,213",21,40,1,1,0,1,1,1,1,0,0
POKEMANIAC,"258,259,260",31,173,1,1,1,0,0,1,1,1,0
PSYCHIC_F,"252,253,254",31,128,0,1,1,0,0,1,1,0,1
PSYCHIC_M,"249,250,251",31,128,0,1,1,0,0,1,1,0,1
RUIN_MANIAC,"280,281",31,70,1,0,1,0,0,1,1,0,0
RUNNING_TRIATHLETE_F,"266,267",31,192,1,1,1,1,1,1,1,0,0
RUNNING_TRIATHLETE_M,"264,265",31,192,1,1,1,1,1,1,1,0,0
SAILOR,"288,289",31,80,1,1,0,0,1,1,1,0,0
SWIMMER_F,"210,211",21,33,1,1,0,0,1,1,1,0,0
SWIMMER_M,"208,209",21,35,1,1,0,0,1,1,1,0,0
SWIMMING_TRIATHLETE_F,"270,271",31,80,1,1,1,0,1,1,1,0,0
SWIMMING_TRIATHLETE_M,"268,269",31,80,1,1,1,0,1,1,1,0,0
YOUNGSTER,"200,201",21,33,1,1,1,1,1,1,1,0,0
